Timestep	VariableName	EntityIdx	Value	Metadata
6	Regional Casualties	Region15	0	Actor health
6	Regional Casualties	Region16	0	Actor health
6	Regional Sheltered	Region01	0	Actor location
6	Regional Sheltered	Region02	0	Actor location
6	Regional Sheltered	Region03	0	Actor location
6	Regional Sheltered	Region04	0	Actor location
6	Regional Sheltered	Region05	0	Actor location
6	Regional Sheltered	Region06	0	Actor location
6	Regional Sheltered	Region07	0	Actor location
6	Regional Sheltered	Region08	0	Actor location
6	Regional Sheltered	Region09	0	Actor location
6	Regional Sheltered	Region10	0	Actor location
6	Regional Sheltered	Region11	0	Actor location
6	Regional Sheltered	Region12	0	Actor location
6	Regional Sheltered	Region13	0	Actor location
6	Regional Sheltered	Region14	0	Actor location
6	Regional Sheltered	Region15	0	Actor location
6	Regional Sheltered	Region16	0	Actor location
7	Deaths	[Actor1-160]	0	Actor alive
7	Casualties	[Actor1-160]	2	Actor health
7	Evacuees	[Actor1-160]	0	Actor location
7	Sheltered	[Actor1-160]	0	Actor location
7	Wellbeing	[Actor1-160]	0.7193691999999999	Actor health
7	Wealth	[Actor1-160]	0.6144912000000001	Actor resources
7	Safety	[Region1-16]	1.0	Region risk
7	Prosocial	[Actor1-160]	21	Actor action
7	Antisocial	[Actor1-160]	10	Actor action
7	Regional Wellbeing	Region01	0.5333333333333334	Actor health
7	Regional Wellbeing	Region02	0.7999999999999999	Actor health
7	Regional Wellbeing	Region03	0.65	Actor health
7	Regional Wellbeing	Region04	0.6	Actor health
7	Regional Wellbeing	Region05	0.775	Actor health
7	Regional Wellbeing	Region06	0.8051004631578946	Actor health
7	Regional Wellbeing	Region07	0.82	Actor health
7	Regional Wellbeing	Region08	0.7142857142857143	Actor health
7	Regional Wellbeing	Region09	0.7818181818181817	Actor health
7	Regional Wellbeing	Region10	0.6646044444444446	Actor health
7	Regional Wellbeing	Region11	0.7250000000000001	Actor health
7	Regional Wellbeing	Region12	0.7833333333333332	Actor health
7	Regional Wellbeing	Region13	0.6526545454545455	Actor health
7	Regional Wellbeing	Region14	0.5379470222222221	Actor health
7	Regional Wellbeing	Region15	0.7090909090909091	Actor health
7	Regional Wellbeing	Region16	0.7142857142857143	Actor health
7	Regional Deaths	Region01	0	Actor alive
7	Regional Deaths	Region02	0	Actor alive
7	Regional Deaths	Region03	0	Actor alive
7	Regional Deaths	Region04	0	Actor alive
7	Regional Deaths	Region05	0	Actor alive
7	Regional Deaths	Region06	0	Actor alive
7	Regional Deaths	Region07	0	Actor alive
7	Regional Deaths	Region08	0	Actor alive
7	Regional Deaths	Region09	0	Actor alive
7	Regional Deaths	Region10	0	Actor alive
7	Regional Deaths	Region11	0	Actor alive
7	Regional Deaths	Region12	0	Actor alive
7	Regional Deaths	Region13	0	Actor alive
7	Regional Deaths	Region14	0	Actor alive
7	Regional Deaths	Region15	0	Actor alive
7	Regional Deaths	Region16	0	Actor alive
7	Regional Casualties	Region01	0	Actor health
7	Regional Casualties	Region02	0	Actor health
7	Regional Casualties	Region03	0	Actor health
7	Regional Casualties	Region04	0	Actor health
7	Regional Casualties	Region05	0	Actor health
7	Regional Casualties	Region06	0	Actor health
7	Regional Casualties	Region07	0	Actor health
7	Regional Casualties	Region08	0	Actor health
7	Regional Casualties	Region09	0	Actor health
7	Regional Casualties	Region10	0	Actor health
7	Regional Casualties	Region11	0	Actor health
7	Regional Casualties	Region12	0	Actor health
7	Regional Casualties	Region13	1	Actor health
7	Regional Casualties	Region14	1	Actor health
7	Regional Casualties	Region15	0	Actor health
7	Regional Casualties	Region16	0	Actor health
7	Regional Sheltered	Region01	0	Actor location
7	Regional Sheltered	Region02	0	Actor location
7	Regional Sheltered	Region03	0	Actor location
7	Regional Sheltered	Region04	0	Actor location
7	Regional Sheltered	Region05	0	Actor location
7	Regional Sheltered	Region06	0	Actor location
7	Regional Sheltered	Region07	0	Actor location
7	Regional Sheltered	Region08	0	Actor location
7	Regional Sheltered	Region09	0	Actor location
7	Regional Sheltered	Region10	0	Actor location
7	Regional Sheltered	Region11	0	Actor location
7	Regional Sheltered	Region12	0	Actor location
7	Regional Sheltered	Region13	0	Actor location
7	Regional Sheltered	Region14	0	Actor location
7	Regional Sheltered	Region15	0	Actor location
7	Regional Sheltered	Region16	0	Actor location
8	Deaths	[Actor1-160]	0	Actor alive
8	Casualties	[Actor1-160]	2	Actor health
8	Evacuees	[Actor1-160]	0	Actor location
8	Sheltered	[Actor1-160]	0	Actor location
8	Wellbeing	[Actor1-160]	0.71662152	Actor health
8	Wealth	[Actor1-160]	0.6085929600000001	Actor resources
8	Safety	[Region1-16]	1.0	Region risk
8	Prosocial	[Actor1-160]	21	Actor action
8	Antisocial	[Actor1-160]	10	Actor action
8	Regional Wellbeing	Region01	0.5333333333333334	Actor health
8	Regional Wellbeing	Region02	0.7999999999999999	Actor health
8	Regional Wellbeing	Region03	0.65	Actor health
8	Regional Wellbeing	Region04	0.6	Actor health
8	Regional Wellbeing	Region05	0.775	Actor health
8	Regional Wellbeing	Region06	0.8156918568421053	Actor health
8	Regional Wellbeing	Region07	0.82	Actor health
8	Regional Wellbeing	Region08	0.7142857142857143	Actor health
8	Regional Wellbeing	Region09	0.7818181818181817	Actor health
8	Regional Wellbeing	Region10	0.6832071111111112	Actor health
8	Regional Wellbeing	Region11	0.7250000000000001	Actor health
8	Regional Wellbeing	Region12	0.7833333333333332	Actor health
8	Regional Wellbeing	Region13	0.6534109090909092	Actor health
8	Regional Wellbeing	Region14	0.4472126577777778	Actor health
8	Regional Wellbeing	Region15	0.7090909090909091	Actor health
8	Regional Wellbeing	Region16	0.7142857142857143	Actor health
8	Regional Deaths	Region01	0	Actor alive
8	Regional Deaths	Region02	0	Actor alive
8	Regional Deaths	Region03	0	Actor alive
8	Regional Deaths	Region04	0	Actor alive
8	Regional Deaths	Region05	0	Actor alive
8	Regional Deaths	Region06	0	Actor alive
8	Regional Deaths	Region07	0	Actor alive
8	Regional Deaths	Region08	0	Actor alive
8	Regional Deaths	Region09	0	Actor alive
8	Regional Deaths	Region10	0	Actor alive
8	Regional Deaths	Region11	0	Actor alive
8	Regional Deaths	Region12	0	Actor alive
8	Regional Deaths	Region13	0	Actor alive
8	Regional Deaths	Region14	0	Actor alive
8	Regional Deaths	Region15	0	Actor alive
8	Regional Deaths	Region16	0	Actor alive
8	Regional Casualties	Region01	0	Actor health
8	Regional Casualties	Region02	0	Actor health
8	Regional Casualties	Region03	0	Actor health
8	Regional Casualties	Region04	0	Actor health
8	Regional Casualties	Region05	0	Actor health
8	Regional Casualties	Region06	0	Actor health
8	Regional Casualties	Region07	0	Actor health
8	Regional Casualties	Region08	0	Actor health
8	Regional Casualties	Region09	0	Actor health
8	Regional Casualties	Region10	0	Actor health
8	Regional Casualties	Region11	0	Actor health
8	Regional Casualties	Region12	0	Actor health
8	Regional Casualties	Region13	1	Actor health
8	Regional Casualties	Region14	1	Actor health
8	Regional Casualties	Region15	0	Actor health
8	Regional Casualties	Region16	0	Actor health
8	Regional Sheltered	Region01	0	Actor location
8	Regional Sheltered	Region02	0	Actor location
8	Regional Sheltered	Region03	0	Actor location
8	Regional Sheltered	Region04	0	Actor location
8	Regional Sheltered	Region05	0	Actor location
8	Regional Sheltered	Region06	0	Actor location
8	Regional Sheltered	Region07	0	Actor location
8	Regional Sheltered	Region08	0	Actor location
8	Regional Sheltered	Region09	0	Actor location
8	Regional Sheltered	Region10	0	Actor location
8	Regional Sheltered	Region11	0	Actor location
8	Regional Sheltered	Region12	0	Actor location
8	Regional Sheltered	Region13	0	Actor location
8	Regional Sheltered	Region14	0	Actor location
8	Regional Sheltered	Region15	0	Actor location
8	Regional Sheltered	Region16	0	Actor location
9	Deaths	[Actor1-160]	0	Actor alive
9	Casualties	[Actor1-160]	3	Actor health
